trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99375}",20,0,-147.54751324728832,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9875}",20,0,-48.27314050902722,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9812500000000001}",20,0,-91.91256231979447,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9750000000000001}",25,0,-110.35262716302262,"{0: 13, 1: 6, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9687500000000001}",20,0,-127.42794564767881,"{0: 6, 1: 6, 2: 6, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9625000000000001}",20,0,-114.27720842759605,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9562500000000002}",20,0,-56.08786946952611,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9500000000000002}",20,0,-156.69020486864613,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.9437500000000002}",25,0,-33.68938820463039,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9375000000000002}",20,0,-114.1323099217925,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9312500000000002}",30,0,-199.9794181561261,"{0: 17, 1: 1, 2: 8, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.9250000000000003}",25,0,-127.98739178343165,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9187500000000003}",25,0,-94.94924602204398,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9125000000000003}",20,0,-91.03790665709563,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9062500000000003}",20,0,-16.89944525162691,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9000000000000004}",25,0,-266.3218776764305,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 5}",0
17,False,"{'a': 0.5, 'e': 0.8937500000000004}",30,0,-266.1268777676441,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 5}",0
18,False,"{'a': 0.5, 'e': 0.8875000000000004}",25,0,-61.722316435916845,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.8812500000000004}",20,0,-80.25677486945018,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8750000000000004}",30,0,-160.38678134565694,"{0: 19, 1: 5, 2: 3, 3: 0, 4: 3}",0
21,False,"{'a': 0.5, 'e': 0.8687500000000005}",25,0,-99.89044973134125,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.8625000000000005}",25,0,-120.5342955980074,"{0: 15, 1: 5, 2: 2, 3: 1, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.8562500000000005}",30,8,-2.275322702582517,"{0: 17, 1: 4, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.8500000000000005}",25,0,-65.79023569558478,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.8437500000000006}",25,0,-155.23703125214172,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.8375000000000006}",25,0,-58.81098280950621,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
