trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9995}",25,0,-79.03869589912318,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9990000000000001}",20,9,-24.536018998505543,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.9985000000000002}",20,0,-90.94594415421267,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9980000000000002}",25,8,-74.53560536189063,"{0: 7, 1: 3, 2: 7, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.9975000000000003}",35,0,-268.49935910099674,"{0: 19, 1: 5, 2: 5, 3: 1, 4: 5}",0
6,False,"{'a': 0.5, 'e': 0.9970000000000003}",30,0,-168.16407578124756,"{0: 16, 1: 6, 2: 5, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9965000000000004}",25,0,-163.9858635931134,"{0: 10, 1: 3, 2: 10, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9960000000000004}",25,0,-128.79727182728436,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9955000000000005}",20,8,-23.62377069217804,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.9950000000000006}",25,0,-98.52922832773176,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9945000000000006}",25,0,-73.99129333317318,"{0: 17, 1: 0, 2: 7, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.9940000000000007}",30,15,-92.43380797646238,"{0: 7, 1: 2, 2: 5, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.9935000000000007}",20,0,-131.61959886134844,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9930000000000008}",20,0,-75.50410443125081,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9925000000000008}",25,0,-118.50524481593317,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9920000000000009}",20,0,-56.5842840716749,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9915000000000009}",25,0,-209.3323327504813,"{0: 11, 1: 2, 2: 9, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.991000000000001}",20,0,-147.96185957513035,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.990500000000001}",35,19,6.711763952998584,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.9900000000000011}",20,0,-145.2609821678708,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.9895000000000012}",20,2,-107.53020001423263,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 2}",1
22,False,"{'a': 0.5, 'e': 0.9890000000000012}",25,0,-108.19955151831748,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.9885000000000013}",20,0,-72.15365022413869,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.9880000000000013}",25,0,-42.58425699460241,"{0: 14, 1: 9, 2: 2, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.9875000000000014}",25,17,3.7892340729963374,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.9870000000000014}",30,0,-116.76441306742626,"{0: 15, 1: 8, 2: 5, 3: 2, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.9865000000000015}",25,0,-133.28534234801882,"{0: 15, 1: 5, 2: 1, 3: 2, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.9860000000000015}",20,0,-82.73354690303628,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.9855000000000016}",20,0,-126.21005654219938,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.9850000000000017}",25,0,-168.16341923806146,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
31,False,"{'a': 0.5, 'e': 0.9845000000000017}",20,0,-96.2651278240046,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.9840000000000018}",20,0,-92.52539134037504,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.9835000000000018}",20,6,-51.45883634957965,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
34,False,"{'a': 0.5, 'e': 0.9830000000000019}",20,0,-54.47830204232083,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.9825000000000019}",25,0,-179.67529212674305,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
36,False,"{'a': 0.5, 'e': 0.982000000000002}",20,0,-72.53189625949152,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.981500000000002}",20,0,-134.43923334346826,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.9810000000000021}",30,7,-43.55505513980464,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.9805000000000021}",25,0,-177.77430493165278,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 2}",0
40,False,"{'a': 0.5, 'e': 0.9800000000000022}",20,7,-82.78999400273376,"{0: 7, 1: 2, 2: 2, 3: 1, 4: 1}",1
41,False,"{'a': 0.5, 'e': 0.9795000000000023}",25,0,-164.11149143451382,"{0: 8, 1: 8, 2: 6, 3: 2, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.9790000000000023}",30,0,-183.03078730969483,"{0: 15, 1: 5, 2: 7, 3: 1, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.9785000000000024}",20,0,-24.232510523198687,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.9780000000000024}",20,0,-69.18315935868011,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.9775000000000025}",25,0,-154.05453422369632,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.9770000000000025}",25,0,-220.8493150172085,"{0: 12, 1: 4, 2: 3, 3: 3, 4: 3}",0
47,False,"{'a': 0.5, 'e': 0.9765000000000026}",25,0,-46.07832649872471,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.9760000000000026}",30,0,-86.96603313328116,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.9755000000000027}",25,0,-172.24355536676617,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
50,False,"{'a': 0.5, 'e': 0.9750000000000028}",30,0,-122.72119833091129,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.9745000000000028}",20,0,-109.38536281237094,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.9740000000000029}",20,0,-142.66263503754274,"{0: 9, 1: 6, 2: 2, 3: 1, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.9735000000000029}",20,0,-83.89110736740616,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.973000000000003}",20,0,-127.36900132992358,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
55,False,"{'a': 0.5, 'e': 0.972500000000003}",25,16,-72.65658173205871,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 1}",1
56,False,"{'a': 0.5, 'e': 0.9720000000000031}",25,0,-65.85173342473901,"{0: 14, 1: 5, 2: 6, 3: 0, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.9715000000000031}",25,12,-81.93884772362692,"{0: 7, 1: 2, 2: 2, 3: 1, 4: 1}",1
