trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-203.63747992717393,"{0: 10, 1: 8, 2: 2, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.999}",25,11,-68.19541700159438,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.998001}",20,0,-126.33214551763781,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.997002999}",20,0,-39.009049855790764,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.996005996001}",20,0,-81.58969514972208,"{0: 16, 1: 0, 2: 0, 3: 3, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.995009990004999}",20,0,-91.63762351239933,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.994014980014994}",20,0,-133.26357330698852,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.993020965034979}",35,2,-188.6626523712774,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 4}",1
9,False,"{'a': 0.5, 'e': 0.992027944069944}",25,0,-146.2086618278599,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.991035916125874}",20,0,-127.3558445276377,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9900448802097482}",20,0,-197.1217650711699,"{0: 10, 1: 4, 2: 1, 3: 1, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.9890548353295384}",25,0,-83.88069667140375,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9880657804942089}",30,2,-57.74945689372099,"{0: 22, 1: 3, 2: 1, 3: 1, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.9870777147137147}",20,4,-38.078975991103135,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.986090636999001}",30,1,-204.84788417524877,"{0: 14, 1: 4, 2: 6, 3: 3, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.985104546362002}",35,0,-153.94634541902207,"{0: 23, 1: 2, 2: 7, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9841194418156399}",35,0,-142.81724333203516,"{0: 22, 1: 2, 2: 8, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9831353223738244}",25,12,-88.79343190850231,"{0: 7, 1: 0, 2: 4, 3: 1, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.9821521870514505}",20,0,-38.23992653933002,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.981170034864399}",30,0,-224.98330973890145,"{0: 16, 1: 2, 2: 7, 3: 2, 4: 3}",0
21,False,"{'a': 0.5, 'e': 0.9801888648295347}",25,0,-121.01792428834374,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.9792086759647052}",20,0,-109.42905487417823,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.9782294672887404}",20,0,-95.81960993899042,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.9772512378214517}",30,0,-103.57860317005968,"{0: 18, 1: 5, 2: 5, 3: 2, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.9762739865836302}",25,0,-103.03970784769437,"{0: 13, 1: 2, 2: 9, 3: 1, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.9752977125970466}",20,0,-114.71679017681112,"{0: 12, 1: 2, 2: 2, 3: 3, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.9743224148844496}",30,0,-112.34301772022674,"{0: 17, 1: 6, 2: 6, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.9733480924695651}",25,0,-88.67309219055666,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.9723747443770956}",30,11,-115.97316835944328,"{0: 11, 1: 0, 2: 5, 3: 2, 4: 1}",1
30,False,"{'a': 0.5, 'e': 0.9714023696327184}",30,0,-333.3189291843088,"{0: 12, 1: 2, 2: 9, 3: 2, 4: 5}",0
31,False,"{'a': 0.5, 'e': 0.9704309672630858}",20,0,-69.45312157640554,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.9694605362958226}",25,0,-139.98596990861878,"{0: 11, 1: 4, 2: 9, 3: 0, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.9684910757595268}",20,0,-69.50969823709984,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.9675225846837673}",20,0,-193.6457651450298,"{0: 9, 1: 3, 2: 3, 3: 2, 4: 3}",0
35,False,"{'a': 0.5, 'e': 0.9665550620990835}",20,0,-84.81072184544905,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.9655885070369844}",20,0,-35.27122410442718,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.9646229185299474}",20,0,-48.370685120450744,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.9636582956114175}",25,0,-37.72892820990472,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.9626946373158061}",20,0,-243.49190487933743,"{0: 5, 1: 3, 2: 7, 3: 2, 4: 3}",0
40,False,"{'a': 0.5, 'e': 0.9617319426784903}",25,0,-146.60521269633938,"{0: 12, 1: 4, 2: 6, 3: 2, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.9607702107358118}",20,0,-53.883781273644146,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.959809440525076}",20,0,-90.80243870011202,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.9588496310845509}",30,0,-105.77176861414773,"{0: 17, 1: 4, 2: 8, 3: 1, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.9578907814534663}",25,0,-184.30798998710526,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
45,False,"{'a': 0.5, 'e': 0.9569328906720129}",20,0,-71.15571264574442,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.9559759577813408}",20,0,-81.09788266336861,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.9550199818235595}",25,11,-19.008875460005115,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 0}",1
