trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",35,0,-200.74241283980842,"{0: 19, 1: 6, 2: 7, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.99}",20,0,-136.5635771513547,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9801}",25,0,-223.20488049068584,"{0: 9, 1: 5, 2: 7, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.970299}",20,0,-65.65578445136245,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.96059601}",20,0,-42.26054535532481,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9509900498999999}",25,0,-149.65598523775577,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.941480149401}",20,0,-105.12048093371095,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9320653479069899}",25,0,-123.20260456756299,"{0: 14, 1: 5, 2: 3, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9227446944279201}",25,0,-153.7652491190392,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9135172474836408}",20,0,-85.39184639644762,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9043820750088044}",20,0,-170.89416510721372,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.8953382542587164}",20,0,-26.674913794697588,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.8863848717161292}",30,0,-98.96968746940891,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8775210229989678}",25,0,-107.9310242174559,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.8687458127689782}",25,0,-13.34864617290404,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.8600583546412884}",25,0,-104.69570699313316,"{0: 14, 1: 6, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8514577710948755}",25,0,-137.57681171136105,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
