trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 1.0}",20,0,-105.6010103453117,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.1, 'e': 0.25}",20,0,-67.76440968638016,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
3,False,"{'a': 0.1, 'e': 0.1111111111111111}",20,0,-20.215836807899425,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.1, 'e': 0.0625}",25,0,-120.19576797109539,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.1, 'e': 0.04}",25,0,-50.85446325261516,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
6,False,"{'a': 0.1, 'e': 0.027777777777777776}",20,0,-88.02714545131624,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
7,False,"{'a': 0.1, 'e': 0.02040816326530612}",20,0,-130.312710256093,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 3}",0
8,False,"{'a': 0.1, 'e': 0.015625}",20,0,13.232148418980968,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.1, 'e': 0.012345679012345678}",20,0,27.546031220632685,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.1, 'e': 0.01}",25,0,-27.947348401205975,"{0: 21, 1: 1, 2: 1, 3: 2, 4: 0}",0
11,False,"{'a': 0.1, 'e': 0.008264462809917356}",25,0,17.889208593337305,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.1, 'e': 0.006944444444444444}",20,0,-14.64528240511274,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
13,False,"{'a': 0.1, 'e': 0.005917159763313609}",20,0,23.366193460249978,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.1, 'e': 0.00510204081632653}",30,0,38.4534250276079,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.1, 'e': 0.0044444444444444444}",25,0,30.232735914522266,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.1, 'e': 0.00390625}",25,0,11.953911636492732,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
17,False,"{'a': 0.1, 'e': 0.0034602076124567475}",25,0,-47.71249445125206,"{0: 21, 1: 2, 2: 0, 3: 1, 4: 1}",0
18,False,"{'a': 0.1, 'e': 0.0030864197530864196}",20,0,-90.27337416508745,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
19,False,"{'a': 0.1, 'e': 0.002770083102493075}",20,0,24.506515481054794,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.1, 'e': 0.0025}",20,0,21.27630566377497,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
21,False,"{'a': 0.1, 'e': 0.0022675736961451248}",25,0,28.352198994375,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
22,False,"{'a': 0.1, 'e': 0.002066115702479339}",30,0,39.76112076140873,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
23,False,"{'a': 0.1, 'e': 0.001890359168241966}",35,0,34.99204758900975,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
24,False,"{'a': 0.1, 'e': 0.001736111111111111}",35,0,-3.978418895161541,"{0: 33, 1: 0, 2: 0, 3: 2, 4: 0}",0
25,False,"{'a': 0.1, 'e': 0.0016}",20,0,24.207623957726742,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
26,False,"{'a': 0.1, 'e': 0.0014792899408284023}",35,2,35.55185562109221,"{0: 33, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.1, 'e': 0.0013717421124828531}",25,0,27.534224353010302,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
28,False,"{'a': 0.1, 'e': 0.0012755102040816326}",20,0,26.684852288152516,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
29,False,"{'a': 0.1, 'e': 0.0011890606420927466}",25,0,9.675950897200385,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
30,False,"{'a': 0.1, 'e': 0.0011111111111111111}",30,0,-61.32938214001998,"{0: 25, 1: 0, 2: 3, 3: 1, 4: 1}",0
31,False,"{'a': 0.1, 'e': 0.001040582726326743}",20,0,0.560670546128329,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
32,False,"{'a': 0.1, 'e': 0.0009765625}",25,0,31.25875068471366,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
33,False,"{'a': 0.1, 'e': 0.0009182736455463728}",20,10,12.585202050116033,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.1, 'e': 0.0008650519031141869}",25,0,-31.526120077538284,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
35,False,"{'a': 0.1, 'e': 0.0008163265306122449}",30,3,5.672710209572767,"{0: 25, 1: 0, 2: 1, 3: 1, 4: 0}",1
36,False,"{'a': 0.1, 'e': 0.0007716049382716049}",25,0,28.11847715329672,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
37,False,"{'a': 0.1, 'e': 0.0007304601899196494}",20,0,18.562107018960663,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
38,False,"{'a': 0.1, 'e': 0.0006925207756232687}",30,0,-25.16152054434502,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
39,False,"{'a': 0.1, 'e': 0.0006574621959237344}",20,0,21.24467864417031,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
40,False,"{'a': 0.1, 'e': 0.000625}",35,0,44.83079878094504,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
41,False,"{'a': 0.1, 'e': 0.000594883997620464}",25,0,22.33402845474779,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
42,False,"{'a': 0.1, 'e': 0.0005668934240362812}",30,0,36.89122014912498,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.1, 'e': 0.0005408328826392645}",20,0,-10.47425393871595,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
44,False,"{'a': 0.1, 'e': 0.0005165289256198347}",35,0,42.3718547979425,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
45,False,"{'a': 0.1, 'e': 0.0004938271604938272}",20,0,-13.652016569282265,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
46,False,"{'a': 0.1, 'e': 0.0004725897920604915}",20,0,29.262443663158088,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
47,False,"{'a': 0.1, 'e': 0.0004526935264825713}",20,0,22.477173135960626,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
48,False,"{'a': 0.1, 'e': 0.00043402777777777775}",20,0,21.607268766088037,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
49,False,"{'a': 0.1, 'e': 0.00041649312786339027}",30,0,33.163740173448524,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
50,False,"{'a': 0.1, 'e': 0.0004}",25,0,29.8821673895664,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
51,False,"{'a': 0.1, 'e': 0.00038446751249519417}",25,11,20.323219712224322,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.1, 'e': 0.0003698224852071006}",20,0,15.775794251892119,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
53,False,"{'a': 0.1, 'e': 0.000355998576005696}",20,9,14.427151207853885,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.1, 'e': 0.0003429355281207133}",25,0,28.810092759102556,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
55,False,"{'a': 0.1, 'e': 0.00033057851239669424}",20,0,18.320099846401636,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
56,False,"{'a': 0.1, 'e': 0.00031887755102040814}",30,0,35.263201654382705,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
57,False,"{'a': 0.1, 'e': 0.0003077870113881194}",20,0,21.41663381665479,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
58,False,"{'a': 0.1, 'e': 0.00029726516052318666}",25,0,26.50461981648908,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
59,False,"{'a': 0.1, 'e': 0.0002872737719046251}",20,16,8.038835822336514,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.1, 'e': 0.0002777777777777778}",25,0,29.872067200726683,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
61,False,"{'a': 0.1, 'e': 0.0002687449610319806}",30,0,28.891706256853077,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
62,False,"{'a': 0.1, 'e': 0.00026014568158168577}",20,0,28.052397927311176,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
63,False,"{'a': 0.1, 'e': 0.0002519526329050139}",25,0,33.65969456955669,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
64,False,"{'a': 0.1, 'e': 0.000244140625}",20,0,24.39908099864777,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
65,False,"{'a': 0.1, 'e': 0.00023668639053254438}",20,0,16.46209159291018,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
66,False,"{'a': 0.1, 'e': 0.0002295684113865932}",25,0,27.660972710721204,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
67,False,"{'a': 0.1, 'e': 0.00022276676319893073}",20,0,19.00941974625284,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
68,False,"{'a': 0.1, 'e': 0.00021626297577854672}",25,1,25.36151698918224,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.1, 'e': 0.00021003990758244065}",20,0,18.857714712036437,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
70,False,"{'a': 0.1, 'e': 0.00020408163265306123}",25,0,26.264134066252822,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
71,False,"{'a': 0.1, 'e': 0.00019837333862328903}",20,0,21.632017308599323,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
72,False,"{'a': 0.1, 'e': 0.00019290123456790122}",25,0,-8.746891454920474,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
73,False,"{'a': 0.1, 'e': 0.00018765246762994934}",20,0,23.761129265762072,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
74,False,"{'a': 0.1, 'e': 0.00018261504747991235}",20,0,14.169275422329457,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
75,False,"{'a': 0.1, 'e': 0.00017777777777777779}",20,0,20.48772985462004,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
76,False,"{'a': 0.1, 'e': 0.00017313019390581717}",35,0,38.688256119089274,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
77,False,"{'a': 0.1, 'e': 0.00016866250632484398}",20,0,29.095855500688675,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
78,False,"{'a': 0.1, 'e': 0.0001643655489809336}",25,0,29.09571451254756,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
79,False,"{'a': 0.1, 'e': 0.0001602307322544464}",20,0,-15.565426287796722,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
80,False,"{'a': 0.1, 'e': 0.00015625}",25,0,24.210587758601744,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
81,False,"{'a': 0.1, 'e': 0.00015241579027587258}",30,0,22.733186345023658,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
82,False,"{'a': 0.1, 'e': 0.000148720999405116}",20,0,27.01226985183669,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
83,False,"{'a': 0.1, 'e': 0.00014515894904920887}",25,0,30.58631736418693,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
84,False,"{'a': 0.1, 'e': 0.0001417233560090703}",25,0,30.061413354496125,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
85,False,"{'a': 0.1, 'e': 0.0001384083044982699}",35,0,36.03413643996749,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
86,False,"{'a': 0.1, 'e': 0.00013520822065981613}",20,0,23.657934406940125,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
87,False,"{'a': 0.1, 'e': 0.0001321178491214163}",20,0,18.26269107406998,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
88,False,"{'a': 0.1, 'e': 0.00012913223140495868}",25,0,30.65545604218759,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
89,False,"{'a': 0.1, 'e': 0.00012624668602449185}",20,0,20.067298251937387,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
90,False,"{'a': 0.1, 'e': 0.0001234567901234568}",25,0,30.949747610031228,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
91,False,"{'a': 0.1, 'e': 0.00012075836251660427}",20,0,20.94664850558942,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
92,False,"{'a': 0.1, 'e': 0.00011814744801512288}",20,0,23.47834787806606,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
93,False,"{'a': 0.1, 'e': 0.00011562030292519366}",20,0,17.418204925211143,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
94,False,"{'a': 0.1, 'e': 0.00011317338162064282}",20,0,22.966926243155502,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
95,False,"{'a': 0.1, 'e': 0.00011080332409972299}",20,0,21.861319857600243,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
96,False,"{'a': 0.1, 'e': 0.00010850694444444444}",25,0,28.59240833242969,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
97,False,"{'a': 0.1, 'e': 0.00010628122010840685}",30,0,29.226966145799572,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
98,False,"{'a': 0.1, 'e': 0.00010412328196584757}",20,0,25.776048885011036,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
99,False,"{'a': 0.1, 'e': 0.00010203040506070809}",20,0,23.645481137306685,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
100,False,"{'a': 0.1, 'e': 0.0001}",20,0,24.304694793830624,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
101,False,"{'a': 0.1, 'e': 9.802960494069208e-05}",20,0,24.80559908364559,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,0,31.579491721937522,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,24.021098818654195,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,23.162584494953947,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,17.77255437134591,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,6.375987330170106,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,20.62435196312795,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,0,26.70834723405124,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
