trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-141.37049089322326,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.3682475046136629}",20,5,-21.38724100621663,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.1356062246541897}",30,0,-142.02237821096267,"{0: 22, 1: 1, 2: 2, 3: 3, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.049936653838985136}",20,4,-20.768125444547852,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.018389048164962566}",30,11,-16.304190582341008,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.006771721098967921}",20,0,-50.74536168799106,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.002493669396634629}",20,6,-40.78153871577035,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.00091828753264216}",20,14,8.638167606761993,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.00033815709241331307}",20,14,10.581861323109113,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.0001245255054486144}",20,2,-14.474156256164877,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 4.585620664220731e-05}",25,17,10.900735662950263,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 1.6886433667041307e-05}",30,21,12.383597232174447,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 6.218387059712114e-06}",20,0,-52.942745866760106,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 2.2899055174608773e-06}",20,7,9.072006782957596,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 8.432519926060261e-07}",20,3,22.9161860121488,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 3.1052544203766845e-07}",35,28,7.980832468069546,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 1.1435021914942596e-07}",25,5,17.521311351093374,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 4.210918285380158e-08}",20,3,-15.905028320591665,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 1.5506601507232892e-08}",30,12,26.79280793236007,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 5.7102673100769636e-09}",25,0,0.6215215258298101,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,3,9.097440129537889,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,0,3.9895972879742185,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,0,0.027660059280361304,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,9,21.362578467081168,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",35,6,-20.327971069541068,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",20,0,7.244786239111325,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,0,28.096094893395374,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,14.20815017836368,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,3,17.486787582438247,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,0,-49.91165032611651,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
