trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-132.59573322937354,"{0: 21, 1: 2, 2: 3, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",35,0,-120.77021628146365,"{0: 26, 1: 2, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-29.568472335878695,"{0: 22, 1: 5, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,4,-95.31368569754244,"{0: 8, 1: 3, 2: 3, 3: 1, 4: 1}",1
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-130.67612119778659,"{0: 10, 1: 8, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-158.13691592957994,"{0: 12, 1: 3, 2: 6, 3: 3, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-66.86426422608675,"{0: 14, 1: 5, 2: 6, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-122.13127552437605,"{0: 17, 1: 3, 2: 8, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.2362760272315,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-65.0118722298206,"{0: 22, 1: 4, 2: 2, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,10,-87.14785163253657,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.98018593635987,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-123.1851167015312,"{0: 18, 1: 5, 2: 4, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-141.20001703793056,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-159.78566121303652,"{0: 12, 1: 5, 2: 5, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,7,-85.650054389351,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-149.1599254719502,"{0: 19, 1: 3, 2: 4, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-84.58213491172305,"{0: 14, 1: 5, 2: 4, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.9308692774534,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-218.97634285711203,"{0: 11, 1: 3, 2: 6, 3: 2, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-98.59341564114878,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-96.83146340528177,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,8,-58.95846404027673,"{0: 15, 1: 5, 2: 1, 3: 0, 4: 1}",1
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-59.19772296487298,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-199.66186564230065,"{0: 15, 1: 7, 2: 4, 3: 1, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-172.75670763544497,"{0: 18, 1: 5, 2: 3, 3: 1, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-85.39115369574722,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-146.32739024319744,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-75.47468976797856,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-261.71588047923547,"{0: 10, 1: 1, 2: 9, 3: 1, 4: 4}",0
